File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Robert\workspace\QoowayLibrary\src\data\AuthImageDownloader.java,172,118,95,7,29,3,25,102,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\DataStorageManager.java,201,150,126,8,34,6,17,32,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\Deserialize.java,223,191,137,46,31,0,1,3,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\HttpPostTask.java,329,236,176,19,44,3,49,169,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\HttpPostTaskDelete.java,328,233,171,19,40,4,55,201,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\HttpPostTaskEdit.java,333,231,172,19,44,3,58,188,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\HttpPostTaskFavorite.java,316,222,166,17,41,3,53,178,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\HttpPostTaskSearch.java,378,265,194,23,66,5,47,188,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\HttpPostTransactionCheckIn.java,357,253,185,22,56,5,48,188,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\HttpRequestImage.java,236,147,111,10,32,3,57,173,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\HttpRequestTask.java,247,177,131,16,37,3,33,127,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\MyHttpsClient.java,61,41,34,2,9,0,11,75,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\Serialize.java,64,48,39,8,15,0,1,3,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\StringConverter.java,28,25,17,4,3,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\data\WebApiManager.java,1032,776,485,124,187,1,69,254,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\Entry.java,21,16,12,0,5,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\FeedParser.java,185,150,109,28,21,0,14,79,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\QoowayActivity.java,150,108,73,6,36,0,6,15,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\AdvancedRestaurantSearchOrderHead.java,32,22,18,0,10,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\AdvancedRetailSearchOrderHead.java,17,14,10,0,3,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\CheckIn.java,16,14,13,0,2,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Cuisine.java,11,6,4,0,5,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Customer.java,17,14,12,0,3,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\CustomerTransaction.java,15,12,11,0,3,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\DisplayListItem.java,66,53,38,7,12,0,1,4,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Favorite.java,46,43,42,0,3,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Merchant.java,50,47,45,0,3,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\MerchantLoginWrapper.java,16,11,8,0,4,0,1,4,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\MerchantReview.java,27,25,24,0,2,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\NotificationItem.java,46,38,30,0,8,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Pass.java,20,17,15,0,3,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Password.java,12,9,7,0,3,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\PostObjectWrapper.java,13,9,7,0,3,0,1,4,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\PostReply.java,41,18,17,0,5,0,18,39,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\PostReview.java,54,47,45,0,6,0,1,12,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\RedeemMerchant.java,49,44,43,0,5,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Reply.java,46,39,34,0,7,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\RestaurantType.java,11,6,4,0,5,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Review.java,31,26,25,0,5,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\SignUp.java,128,59,48,0,9,0,60,181,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\SortManager.java,28,17,11,2,11,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Subcategory.java,16,12,9,0,4,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Token.java,13,9,8,0,4,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Transaction.java,17,15,13,0,2,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Transactionsdeprecated.java,52,48,44,0,4,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\Voucher.java,28,21,17,0,7,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\VoucherGrouped.java,13,9,8,0,4,1,0,5,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\WebCuisine.java,16,12,9,0,4,0,0,0,0,0
C:\Users\Robert\workspace\QoowayLibrary\src\framework\DataObject\WebPointOrderHead.java,96,78,71,0,17,3,1,20,0,0
